"Pos","Squad","stat","total_value"
"DF","Arsenal","Aer.lost",118
"DF","Arsenal","Ass",5
"DF","Arsenal","Blocks",119
"DF","Arsenal","Cha.lost",68
"DF","Arsenal","Clr",245
"DF","Arsenal","Cmp.",86.02
"DF","Arsenal","Dist",14.8571428571429
"DF","Arsenal","Err",7
"DF","Arsenal","FK",0
"DF","Arsenal","G.Sh",0.98
"DF","Arsenal","Gls",11
"DF","Arsenal","Int",107
"DF","Arsenal","PK",0
"DF","Arsenal","PenS",0
"DF","Arsenal","Rcd",1
"DF","Arsenal","Saves",0
"DF","Arsenal","Sh",77
"DF","Arsenal","SoT",24
"DF","Arsenal","Tkl",179
"DF","Arsenal","TklW",105
"DF","Arsenal","xG",8.2
"DF","Aston Villa","Aer.lost",107
"DF","Aston Villa","Ass",5
"DF","Aston Villa","Blocks",143
"DF","Aston Villa","Cha.lost",77
"DF","Aston Villa","Clr",353
"DF","Aston Villa","Cmp.",87.0666666666667
"DF","Aston Villa","Dist",13.3428571428571
"DF","Aston Villa","Err",6
"DF","Aston Villa","FK",5
"DF","Aston Villa","G.Sh",0.61
"DF","Aston Villa","Gls",8
"DF","Aston Villa","Int",100
"DF","Aston Villa","PK",0
"DF","Aston Villa","PenS",0
"DF","Aston Villa","Rcd",0
"DF","Aston Villa","Saves",0
"DF","Aston Villa","Sh",99
"DF","Aston Villa","SoT",34
"DF","Aston Villa","Tkl",211
"DF","Aston Villa","TklW",116
"DF","Aston Villa","xG",11.3
"DF","Bournemouth","Aer.lost",203
"DF","Bournemouth","Ass",6
"DF","Bournemouth","Blocks",209
"DF","Bournemouth","Cha.lost",121
"DF","Bournemouth","Clr",506
"DF","Bournemouth","Cmp.",76.1125
"DF","Bournemouth","Dist",12.18
"DF","Bournemouth","Err",8
"DF","Bournemouth","FK",0
"DF","Bournemouth","G.Sh",0.56
"DF","Bournemouth","Gls",4
"DF","Bournemouth","Int",140
"DF","Bournemouth","PK",0
"DF","Bournemouth","PenS",0
"DF","Bournemouth","Rcd",0
"DF","Bournemouth","Saves",0
"DF","Bournemouth","Sh",28
"DF","Bournemouth","SoT",10
"DF","Bournemouth","Tkl",266
"DF","Bournemouth","TklW",164
"DF","Bournemouth","xG",2.9
"DF","Brentford","Aer.lost",201
"DF","Brentford","Ass",4
"DF","Brentford","Blocks",179
"DF","Brentford","Cha.lost",83
"DF","Brentford","Clr",552
"DF","Brentford","Cmp.",73.0727272727273
"DF","Brentford","Dist",14.75
"DF","Brentford","Err",11
"DF","Brentford","FK",0
"DF","Brentford","G.Sh",1.06
"DF","Brentford","Gls",11
"DF","Brentford","Int",158
"DF","Brentford","PK",0
"DF","Brentford","PenS",0
"DF","Brentford","Rcd",1
"DF","Brentford","Saves",0
"DF","Brentford","Sh",117
"DF","Brentford","SoT",31
"DF","Brentford","Tkl",241
"DF","Brentford","TklW",144
"DF","Brentford","xG",13
"DF","Brighton","Aer.lost",122
"DF","Brighton","Ass",6
"DF","Brighton","Blocks",158
"DF","Brighton","Cha.lost",87
"DF","Brighton","Clr",301
"DF","Brighton","Cmp.",87.3625
"DF","Brighton","Dist",14.85
"DF","Brighton","Err",7
"DF","Brighton","FK",4
"DF","Brighton","G.Sh",0.49
"DF","Brighton","Gls",8
"DF","Brighton","Int",120
"DF","Brighton","PK",0
"DF","Brighton","PenS",0
"DF","Brighton","Rcd",1
"DF","Brighton","Saves",0
"DF","Brighton","Sh",79
"DF","Brighton","SoT",34
"DF","Brighton","Tkl",169
"DF","Brighton","TklW",103
"DF","Brighton","xG",7.6
"DF","Burnley","Aer.lost",218
"DF","Burnley","Ass",5
"DF","Burnley","Blocks",196
"DF","Burnley","Cha.lost",120
"DF","Burnley","Clr",504
"DF","Burnley","Cmp.",80.7
"DF","Burnley","Dist",16.4166666666667
"DF","Burnley","Err",12
"DF","Burnley","FK",0
"DF","Burnley","G.Sh",0.36
"DF","Burnley","Gls",4
"DF","Burnley","Int",132
"DF","Burnley","PK",0
"DF","Burnley","PenS",0
"DF","Burnley","Rcd",1
"DF","Burnley","Saves",0
"DF","Burnley","Sh",56
"DF","Burnley","SoT",13
"DF","Burnley","Tkl",246
"DF","Burnley","TklW",129
"DF","Burnley","xG",3.8
"DF","Chelsea","Aer.lost",160
"DF","Chelsea","Ass",6
"DF","Chelsea","Blocks",183
"DF","Chelsea","Cha.lost",90
"DF","Chelsea","Clr",500
"DF","Chelsea","Cmp.",83.8090909090909
"DF","Chelsea","Dist",15.325
"DF","Chelsea","Err",9
"DF","Chelsea","FK",4
"DF","Chelsea","G.Sh",0.52
"DF","Chelsea","Gls",6
"DF","Chelsea","Int",127
"DF","Chelsea","PK",0
"DF","Chelsea","PenS",0
"DF","Chelsea","Rcd",2
"DF","Chelsea","Saves",0
"DF","Chelsea","Sh",74
"DF","Chelsea","SoT",22
"DF","Chelsea","Tkl",277
"DF","Chelsea","TklW",161
"DF","Chelsea","xG",6.6
"DF","Crystal Palace","Aer.lost",172
"DF","Crystal Palace","Ass",3
"DF","Crystal Palace","Blocks",163
"DF","Crystal Palace","Cha.lost",61
"DF","Crystal Palace","Clr",547
"DF","Crystal Palace","Cmp.",79.5333333333333
"DF","Crystal Palace","Dist",12.0666666666667
"DF","Crystal Palace","Err",2
"DF","Crystal Palace","FK",1
"DF","Crystal Palace","G.Sh",0.48
"DF","Crystal Palace","Gls",4
"DF","Crystal Palace","Int",119
"DF","Crystal Palace","PK",0
"DF","Crystal Palace","PenS",0
"DF","Crystal Palace","Rcd",0
"DF","Crystal Palace","Saves",0
"DF","Crystal Palace","Sh",30
"DF","Crystal Palace","SoT",11
"DF","Crystal Palace","Tkl",276
"DF","Crystal Palace","TklW",166
"DF","Crystal Palace","xG",2.3
"DF","Everton","Aer.lost",208
"DF","Everton","Ass",4
"DF","Everton","Blocks",226
"DF","Everton","Cha.lost",129
"DF","Everton","Clr",604
"DF","Everton","Cmp.",74.0571428571429
"DF","Everton","Dist",14.4666666666667
"DF","Everton","Err",8
"DF","Everton","FK",3
"DF","Everton","G.Sh",0.52
"DF","Everton","Gls",6
"DF","Everton","Int",194
"DF","Everton","PK",0
"DF","Everton","PenS",0
"DF","Everton","Rcd",1
"DF","Everton","Saves",0
"DF","Everton","Sh",83
"DF","Everton","SoT",20
"DF","Everton","Tkl",320
"DF","Everton","TklW",197
"DF","Everton","xG",8
"DF","Fulham","Aer.lost",153
"DF","Fulham","Ass",3
"DF","Fulham","Blocks",203
"DF","Fulham","Cha.lost",115
"DF","Fulham","Clr",526
"DF","Fulham","Cmp.",83.2
"DF","Fulham","Dist",11.8
"DF","Fulham","Err",11
"DF","Fulham","FK",0
"DF","Fulham","G.Sh",1.59
"DF","Fulham","Gls",5
"DF","Fulham","Int",229
"DF","Fulham","PK",0
"DF","Fulham","PenS",0
"DF","Fulham","Rcd",2
"DF","Fulham","Saves",0
"DF","Fulham","Sh",53
"DF","Fulham","SoT",19
"DF","Fulham","Tkl",289
"DF","Fulham","TklW",164
"DF","Fulham","xG",5.1
"DF","Liverpool","Aer.lost",100
"DF","Liverpool","Ass",9
"DF","Liverpool","Blocks",157
"DF","Liverpool","Cha.lost",138
"DF","Liverpool","Clr",346
"DF","Liverpool","Cmp.",81.1875
"DF","Liverpool","Dist",16.4
"DF","Liverpool","Err",8
"DF","Liverpool","FK",4
"DF","Liverpool","G.Sh",0.36
"DF","Liverpool","Gls",6
"DF","Liverpool","Int",135
"DF","Liverpool","PK",0
"DF","Liverpool","PenS",0
"DF","Liverpool","Rcd",1
"DF","Liverpool","Saves",0
"DF","Liverpool","Sh",108
"DF","Liverpool","SoT",25
"DF","Liverpool","Tkl",240
"DF","Liverpool","TklW",165
"DF","Liverpool","xG",7
"DF","Luton Town","Aer.lost",185
"DF","Luton Town","Ass",7
"DF","Luton Town","Blocks",234
"DF","Luton Town","Cha.lost",120
"DF","Luton Town","Clr",565
"DF","Luton Town","Cmp.",74.6090909090909
"DF","Luton Town","Dist",13.69
"DF","Luton Town","Err",7
"DF","Luton Town","FK",1
"DF","Luton Town","G.Sh",0.9
"DF","Luton Town","Gls",6
"DF","Luton Town","Int",206
"DF","Luton Town","PK",0
"DF","Luton Town","PenS",0
"DF","Luton Town","Rcd",0
"DF","Luton Town","Saves",0
"DF","Luton Town","Sh",73
"DF","Luton Town","SoT",21
"DF","Luton Town","Tkl",305
"DF","Luton Town","TklW",178
"DF","Luton Town","xG",5.9
"DF","Manchester City","Aer.lost",53
"DF","Manchester City","Ass",3
"DF","Manchester City","Blocks",66
"DF","Manchester City","Cha.lost",44
"DF","Manchester City","Clr",138
"DF","Manchester City","Cmp.",93.24
"DF","Manchester City","Dist",16.7625
"DF","Manchester City","Err",4
"DF","Manchester City","FK",1
"DF","Manchester City","G.Sh",0.96
"DF","Manchester City","Gls",7
"DF","Manchester City","Int",64
"DF","Manchester City","PK",0
"DF","Manchester City","PenS",0
"DF","Manchester City","Rcd",1
"DF","Manchester City","Saves",0
"DF","Manchester City","Sh",92
"DF","Manchester City","SoT",33
"DF","Manchester City","Tkl",92
"DF","Manchester City","TklW",60
"DF","Manchester City","xG",7.5
"DF","Manchester Utd","Aer.lost",93
"DF","Manchester Utd","Ass",7
"DF","Manchester Utd","Blocks",156
"DF","Manchester Utd","Cha.lost",57
"DF","Manchester Utd","Clr",391
"DF","Manchester Utd","Cmp.",86.0285714285714
"DF","Manchester Utd","Dist",15.12
"DF","Manchester Utd","Err",3
"DF","Manchester Utd","FK",0
"DF","Manchester Utd","G.Sh",0.4
"DF","Manchester Utd","Gls",4
"DF","Manchester Utd","Int",136
"DF","Manchester Utd","PK",0
"DF","Manchester Utd","PenS",0
"DF","Manchester Utd","Rcd",1
"DF","Manchester Utd","Saves",0
"DF","Manchester Utd","Sh",58
"DF","Manchester Utd","SoT",13
"DF","Manchester Utd","Tkl",183
"DF","Manchester Utd","TklW",116
"DF","Manchester Utd","xG",5.1
"DF","Newcastle Utd","Aer.lost",142
"DF","Newcastle Utd","Ass",9
"DF","Newcastle Utd","Blocks",176
"DF","Newcastle Utd","Cha.lost",121
"DF","Newcastle Utd","Clr",371
"DF","Newcastle Utd","Cmp.",86.52
"DF","Newcastle Utd","Dist",14.9714285714286
"DF","Newcastle Utd","Err",9
"DF","Newcastle Utd","FK",6
"DF","Newcastle Utd","G.Sh",1.05
"DF","Newcastle Utd","Gls",10
"DF","Newcastle Utd","Int",122
"DF","Newcastle Utd","PK",0
"DF","Newcastle Utd","PenS",0
"DF","Newcastle Utd","Rcd",0
"DF","Newcastle Utd","Saves",0
"DF","Newcastle Utd","Sh",76
"DF","Newcastle Utd","SoT",20
"DF","Newcastle Utd","Tkl",228
"DF","Newcastle Utd","TklW",128
"DF","Newcastle Utd","xG",7.2
"DF","Nott'ham Forest","Aer.lost",177
"DF","Nott'ham Forest","Ass",7
"DF","Nott'ham Forest","Blocks",240
"DF","Nott'ham Forest","Cha.lost",109
"DF","Nott'ham Forest","Clr",683
"DF","Nott'ham Forest","Cmp.",77.0615384615385
"DF","Nott'ham Forest","Dist",18.675
"DF","Nott'ham Forest","Err",5
"DF","Nott'ham Forest","FK",2
"DF","Nott'ham Forest","G.Sh",0.55
"DF","Nott'ham Forest","Gls",4
"DF","Nott'ham Forest","Int",174
"DF","Nott'ham Forest","PK",0
"DF","Nott'ham Forest","PenS",0
"DF","Nott'ham Forest","Rcd",3
"DF","Nott'ham Forest","Saves",0
"DF","Nott'ham Forest","Sh",68
"DF","Nott'ham Forest","SoT",20
"DF","Nott'ham Forest","Tkl",366
"DF","Nott'ham Forest","TklW",227
"DF","Nott'ham Forest","xG",6.2
"DF","Sheffield Utd","Aer.lost",211
"DF","Sheffield Utd","Ass",5
"DF","Sheffield Utd","Blocks",238
"DF","Sheffield Utd","Cha.lost",129
"DF","Sheffield Utd","Clr",605
"DF","Sheffield Utd","Cmp.",70.3692307692308
"DF","Sheffield Utd","Dist",14.3285714285714
"DF","Sheffield Utd","Err",7
"DF","Sheffield Utd","FK",0
"DF","Sheffield Utd","G.Sh",0.24
"DF","Sheffield Utd","Gls",4
"DF","Sheffield Utd","Int",170
"DF","Sheffield Utd","PK",0
"DF","Sheffield Utd","PenS",0
"DF","Sheffield Utd","Rcd",0
"DF","Sheffield Utd","Saves",0
"DF","Sheffield Utd","Sh",71
"DF","Sheffield Utd","SoT",21
"DF","Sheffield Utd","Tkl",281
"DF","Sheffield Utd","TklW",155
"DF","Sheffield Utd","xG",6.5
"DF","Tottenham","Aer.lost",167
"DF","Tottenham","Ass",10
