Latitude,Longitude,State,Month,Pollutant,Concentration,Concentration_Scaled,Concentration_Standardize
31.0,-99.0,Texas,2024-04,HAPs,5.610920840212905,0.0289782639562243,-0.1408996626810383
31.0,-99.0,Texas,2024-05,HAPs,4.894488004209592,0.0252802099910796,-0.1816581201730802
31.0,-99.0,Texas,2024-06,HAPs,6.310416098242612,0.0325888902181182,-0.1011047980300317
31.0,-99.0,Texas,2024-07,HAPs,6.230269797228293,0.0321751942910706,-0.1056643874833289
31.0,-99.0,Texas,2024-08,HAPs,8.458400417958607,0.0436762685897003,0.0210958091854533
31.0,-99.0,Texas,2024-09,HAPs,9.84770353198721,0.0508475170744607,0.1001344141614463
31.0,-99.0,Texas,2024-10,HAPs,11.406105449719888,0.0588916129080774,0.1887931901519009
31.0,-99.0,Texas,2024-11,HAPs,2.6044319423453817,0.0134594914611692,-0.3119413064834485
31.0,-99.0,Texas,2024-12,HAPs,2.6081109290997486,0.0134784815058335,-0.3117320058795313
39.5,-111.5,Utah,2024-01,HAPs,24.8282101652449,0.1281732888300409,0.9523878455187734
39.5,-111.5,Utah,2024-02,HAPs,22.13373911644496,0.1142650774175532,0.7990971556074836
39.5,-111.5,Utah,2024-03,HAPs,27.74982963899044,0.1432539857726902,1.1186011974819277
39.5,-111.5,Utah,2024-04,HAPs,24.025701459365383,0.1240309319297115,0.9067324604891674
39.5,-111.5,Utah,2024-05,HAPs,22.469436097279125,0.1159978644824039,0.8181952349192376
39.5,-111.5,Utah,2024-06,HAPs,32.9492021297147,0.1700918958869862,1.4143978053407786
39.5,-111.5,Utah,2024-07,HAPs,38.8595078388099,0.200599472263114,1.7506399928889986
39.5,-111.5,Utah,2024-08,HAPs,25.99614971872315,0.1342019118631282,1.018832894170197
39.5,-111.5,Utah,2024-09,HAPs,33.65668137585034,0.1737437335749749,1.4546468856886092
39.5,-111.5,Utah,2024-10,HAPs,29.74219901779414,0.153538117251672,1.2319487418064323
39.5,-111.5,Utah,2024-11,HAPs,28.50787078889318,0.1471668118455137,1.1617267864176453
39.5,-111.5,Utah,2024-12,HAPs,32.13596801654044,0.165894177014144,1.3681322430058631
44.0,-72.7,Vermont,2024-01,HAPs,1.1590454545454545,0.0059987540915738,-0.3941705410495378
44.0,-72.7,Vermont,2024-02,HAPs,1.0013529411764706,0.0051847832697017,-0.4031417987585204
44.0,-72.7,Vermont,2024-03,HAPs,0.9674942528735632,0.0050100128652187,-0.4050680475826655
44.0,-72.7,Vermont,2024-04,HAPs,1.0721619047619046,0.0055502821069907,-0.3991134181660665
44.0,-72.7,Vermont,2024-05,HAPs,1.551,0.0080219291725216,-0.371871922285995
44.0,-72.7,Vermont,2024-06,HAPs,1.8156523809523808,0.0093880011022027,-0.3568156291107819
44.0,-72.7,Vermont,2024-07,HAPs,2.925758620689655,0.0151181024812709,-0.2936607655838777
44.0,-72.7,Vermont,2024-08,HAPs,1.5722164502164504,0.0081314433850289,-0.3706649008586924
44.0,-72.7,Vermont,2024-09,HAPs,1.3636,0.0070546154506462,-0.3825332635173918
44.0,-72.7,Vermont,2024-10,HAPs,1.9439571428571427,0.0100502794200919,-0.3495162649257243
44.0,-72.7,Vermont,2024-11,HAPs,1.2625,0.0065327615697412,-0.3882849262628252
44.0,-72.7,Vermont,2024-12,HAPs,1.1714285714285713,0.0060626727622282,-0.3934660552725946
37.5,-78.75,Virginia,2024-01,HAPs,3.941835633116883,0.0203628476072209,-0.2358553026870535
37.5,-78.75,Virginia,2024-02,HAPs,3.465525925925926,0.0179042514725983,-0.2629529564767519
37.5,-78.75,Virginia,2024-03,HAPs,4.982018759018759,0.025732022692323,-0.1766784230265367
37.5,-78.75,Virginia,2024-04,HAPs,5.495737962962963,0.0283837176505201,-0.1474525119786676
37.5,-78.75,Virginia,2024-05,HAPs,5.479886206896552,0.0283018946987653,-0.14835433151197
37.5,-78.75,Virginia,2024-06,HAPs,10.200721420542989,0.0526697104985135,0.1202178942611279
37.5,-78.75,Virginia,2024-07,HAPs,13.709035881422924,0.0707787858382311,0.3198088100267887
37.5,-78.75,Virginia,2024-08,HAPs,13.267987047451586,0.0685021978493431,0.2947171765226365
37.5,-78.75,Virginia,2024-09,HAPs,6.87569846743295,0.0355067418320566,-0.0689454157993454
37.5,-78.75,Virginia,2024-10,HAPs,6.303211111111112,0.0325516998076687,-0.1015146957161402
37.5,-78.75,Virginia,2024-11,HAPs,5.648111111111111,0.0291702311886688,-0.138783877363355
37.5,-78.75,Virginia,2024-12,HAPs,4.60901388888889,0.0238066612771524,-0.197898979064036
47.0,-120.5,Washington,2024-01,HAPs,0.0013039773601156,2.277107521484254e-05,-0.4600354126931572
47.0,-120.5,Washington,2024-02,HAPs,0.0034558728194247,3.3878641948199395e-05,-0.4599129895779705
47.0,-120.5,Washington,2024-03,HAPs,0.0022946078431372,2.7884471477034937e-05,-0.4599790549043968
47.0,-120.5,Washington,2024-04,HAPs,0.0018150911844513,2.540932183021148e-05,-0.4600063350043135
47.0,-120.5,Washington,2024-05,HAPs,0.0010620183486238,2.1522140999541427e-05,-0.460049177941746
47.0,-120.5,Washington,2024-06,HAPs,3.840705041684966,0.0198408358207029,-0.2416087058043888
47.0,-120.5,Washington,2024-07,HAPs,5.520994465986394,0.0285140856438027,-0.146015648600628
47.0,-120.5,Washington,2024-08,HAPs,6.148924071428572,0.0317553072217964,-0.1102922132062022
47.0,-120.5,Washington,2024-09,HAPs,5.561409156429156,0.0287226965543183,-0.143716423384131
47.0,-120.5,Washington,2024-10,HAPs,4.006512316602317,0.0206966930897228,-0.2321757925891172
47.0,-120.5,Washington,2024-11,HAPs,3.7067716666666666,0.0191495039558561,-0.2492282864518953
47.0,-120.5,Washington,2024-12,HAPs,3.565288043478261,0.0184191995261294,-0.2572774069719912
38.5,-80.5,West Virginia,2024-01,HAPs,5.40006045751634,0.0278898533821459,-0.1528956845172762
38.5,-80.5,West Virginia,2024-02,HAPs,4.106883566433567,0.0212147853375539,-0.2264655890444389
38.5,-80.5,West Virginia,2024-03,HAPs,4.021230015082956,0.0207726623090117,-0.2313384905312575
38.5,-80.5,West Virginia,2024-04,HAPs,0.7021772727272727,0.0036405104343647,-0.4201621503565361
38.5,-80.5,West Virginia,2024-05,HAPs,1.15268470659775,0.0059659214407136,-0.394532409269161
38.5,-80.5,West Virginia,2024-06,HAPs,1.4535292753623188,0.007518808738033,-0.3774171125497828
38.5,-80.5,West Virginia,2024-07,HAPs,0.0028933333333333,3.097494843703103e-05,-0.4599449929153097
38.5,-80.5,West Virginia,2024-08,HAPs,0.0124766737891737,8.044184664587916e-05,-0.4593997887384881
38.5,-80.5,West Virginia,2024-09,HAPs,0.008975,6.236704885612904e-05,-0.4595990018609396
38.5,-80.5,West Virginia,2024-10,HAPs,0.0023499999999999,2.817039246645631e-05,-0.4599759035987091
38.5,-80.5,West Virginia,2024-11,HAPs,0.0044166666666666,3.88380286735492e-05,-0.4598583292201345
38.5,-80.5,West Virginia,2024-12,HAPs,0.0095333333333333,6.524903121852893e-05,-0.459567237815115
44.5,-89.5,Wisconsin,2024-01,HAPs,7.045041921281333,0.0363808520061084,-0.0593113264355199
44.5,-89.5,Wisconsin,2024-02,HAPs,13.7309824981685,0.0708920689947238,0.3210573712327612
44.5,-89.5,Wisconsin,2024-03,HAPs,15.156987986427987,0.0782527663066931,0.4021840046808881
44.5,-89.5,Wisconsin,2024-04,HAPs,1.3007369047619048,0.0067301312744276,-0.3861095970776646
44.5,-89.5,Wisconsin,2024-05,HAPs,2.9259771883289125,0.0151192306748494,-0.2936483310898315
44.5,-89.5,Wisconsin,2024-06,HAPs,3.828739431739432,0.0197790722204312,-0.2422894392658143
44.5,-89.5,Wisconsin,2024-07,HAPs,2.304514035087719,0.0119113873676447,-0.3290038846621058
44.5,-89.5,Wisconsin,2024-08,HAPs,5.263905523255814,0.0271870543628756,-0.1606416515102851
44.5,-89.5,Wisconsin,2024-09,HAPs,6.607775,0.0341237853408061,-0.0841878037940183
44.5,-89.5,Wisconsin,2024-10,HAPs,9.825482979664017,0.0507328199284102,0.0988702685335504
44.5,-89.5,Wisconsin,2024-11,HAPs,5.424003448275863,0.0280134413410809,-0.1515335479399686
44.5,-89.5,Wisconsin,2024-12,HAPs,3.685827586206897,0.0190413956505157,-0.250419812538125
43.0,-107.5,Wyoming,2024-01,HAPs,0.0004714927929213,1.847399012894843e-05,-0.4600827734297673
43.0,-107.5,Wyoming,2024-02,HAPs,0.0025722028648857,2.931735020521865e-05,-0.4599632622936656
43.0,-107.5,Wyoming,2024-03,HAPs,-0.0030972320317492,5.3091022752153494e-08,-0.4602858011411694
43.0,-107.5,Wyoming,2024-04,HAPs,-9.900332225913623e-05,1.5529226412349447e-05,-0.4601152294263261
43.0,-107.5,Wyoming,2024-05,HAPs,-0.00078,1.2014085372166409e-05,-0.4601539718914214
43.0,-107.5,Wyoming,2024-06,HAPs,0.0032733905156265,3.293671219119066e-05,-0.4599233711473914
43.0,-107.5,Wyoming,2024-07,HAPs,0.000490909090909,1.857421238866841e-05,-0.4600816688204914
43.0,-107.5,Wyoming,2024-08,HAPs,0.0037426143790849,3.535873290492974e-05,-0.4598966766131211
43.0,-107.5,Wyoming,2024-09,HAPs,0.0048204081632653,4.092204516101151e-05,-0.4598353600319567
43.0,-107.5,Wyoming,2024-10,HAPs,0.004875,4.12038350904451e-05,-0.4598322542571441
43.0,-107.5,Wyoming,2024-11,HAPs,0.0075444444444444,5.498286519127297e-05,-0.4596803873514852
43.0,-107.5,Wyoming,2024-12,HAPs,0.0021428571428571,2.7101170865054456e-05,-0.4599876881274372
32.83472,-86.63333,Alabama,2024-01,NO,4.668057493333333,0.0512163057063595,-0.0024760284151098
