sitename,itemname,itemengname,itemunit,monitormonth,concentration
大園,臭氧,O3,ppb,2023-01,34
大園,懸浮微粒,PM10,μg/m3,2023-01,32
大園,氮氧化物,NOx,ppb,2023-01,14.3
大園,一氧化氮,NO,ppb,2023-01,2.9
大園,二氧化氮,NO2,ppb,2023-01,11.3
大園,風速,WIND_SPEED,m/sec,2023-01,4.5
大園,溫度,AMB_TEMP,℃,2023-01,16.4
大園,細懸浮微粒,PM2.5,μg/m3,2023-01,15
大園,相對濕度,RH,%,2023-01,79
觀音,二氧化硫,SO2,ppb,2023-01,1.4
觀音,一氧化碳,CO,ppm,2023-01,0.24
觀音,臭氧,O3,ppb,2023-01,37.1
觀音,懸浮微粒,PM10,μg/m3,2023-01,37
觀音,氮氧化物,NOx,ppb,2023-01,9.2
觀音,一氧化氮,NO,ppb,2023-01,1.4
觀音,二氧化氮,NO2,ppb,2023-01,7.7
觀音,風速,WIND_SPEED,m/sec,2023-01,5
觀音,溫度,AMB_TEMP,℃,2023-01,16.2
觀音,細懸浮微粒,PM2.5,μg/m3,2023-01,17
觀音,相對濕度,RH,%,2023-01,84
平鎮,二氧化硫,SO2,ppb,2023-01,1.2
平鎮,一氧化碳,CO,ppm,2023-01,0.36
平鎮,臭氧,O3,ppb,2023-01,30.9
平鎮,懸浮微粒,PM10,μg/m3,2023-01,28
平鎮,氮氧化物,NOx,ppb,2023-01,17.3
平鎮,一氧化氮,NO,ppb,2023-01,2.8
平鎮,二氧化氮,NO2,ppb,2023-01,14.4
平鎮,風速,WIND_SPEED,m/sec,2023-01,2.6
平鎮,溫度,AMB_TEMP,℃,2023-01,16.2
平鎮,細懸浮微粒,PM2.5,μg/m3,2023-01,18
平鎮,相對濕度,RH,%,2023-01,78
龍潭,二氧化硫,SO2,ppb,2023-01,0.6
龍潭,一氧化碳,CO,ppm,2023-01,0.28
龍潭,臭氧,O3,ppb,2023-01,31.1
龍潭,懸浮微粒,PM10,μg/m3,2023-01,22
龍潭,氮氧化物,NOx,ppb,2023-01,12.7
龍潭,一氧化氮,NO,ppb,2023-01,1.8
龍潭,二氧化氮,NO2,ppb,2023-01,10.8
龍潭,風速,WIND_SPEED,m/sec,2023-01,3.2
龍潭,溫度,AMB_TEMP,℃,2023-01,15.6
龍潭,細懸浮微粒,PM2.5,μg/m3,2023-01,13
龍潭,相對濕度,RH,%,2023-01,84
湖口,二氧化硫,SO2,ppb,2023-01,1.2
湖口,一氧化碳,CO,ppm,2023-01,0.27
湖口,臭氧,O3,ppb,2023-01,34.7
湖口,懸浮微粒,PM10,μg/m3,2023-01,30
湖口,氮氧化物,NOx,ppb,2023-01,9.6
湖口,一氧化氮,NO,ppb,2023-01,1.4
湖口,二氧化氮,NO2,ppb,2023-01,8.1
湖口,風速,WIND_SPEED,m/sec,2023-01,3.7
湖口,溫度,AMB_TEMP,℃,2023-01,16.1
湖口,細懸浮微粒,PM2.5,μg/m3,2023-01,15
湖口,相對濕度,RH,%,2023-01,84
竹東,二氧化硫,SO2,ppb,2023-01,0.6
竹東,一氧化碳,CO,ppm,2023-01,0.27
竹東,臭氧,O3,ppb,2023-01,29.5
竹東,懸浮微粒,PM10,μg/m3,2023-01,22
竹東,氮氧化物,NOx,ppb,2023-01,9.2
竹東,一氧化氮,NO,ppb,2023-01,1.2
竹東,二氧化氮,NO2,ppb,2023-01,7.9
竹東,風速,WIND_SPEED,m/sec,2023-01,2
竹東,溫度,AMB_TEMP,℃,2023-01,16.4
竹東,細懸浮微粒,PM2.5,μg/m3,2023-01,13
竹東,相對濕度,RH,%,2023-01,78
新竹,二氧化硫,SO2,ppb,2023-01,0.8
新竹,一氧化碳,CO,ppm,2023-01,0.33
新竹,臭氧,O3,ppb,2023-01,31.5
新竹,懸浮微粒,PM10,μg/m3,2023-01,30
新竹,氮氧化物,NOx,ppb,2023-01,12.9
新竹,一氧化氮,NO,ppb,2023-01,1.7
新竹,二氧化氮,NO2,ppb,2023-01,11.1
新竹,風速,WIND_SPEED,m/sec,2023-01,2.5
新竹,溫度,AMB_TEMP,℃,2023-01,16.6
新竹,細懸浮微粒,PM2.5,μg/m3,2023-01,15
新竹,相對濕度,RH,%,2023-01,79
頭份,二氧化硫,SO2,ppb,2023-01,1.8
頭份,一氧化碳,CO,ppm,2023-01,0.3
頭份,臭氧,O3,ppb,2023-01,31.4
頭份,懸浮微粒,PM10,μg/m3,2023-01,30
頭份,氮氧化物,NOx,ppb,2023-01,12.5
頭份,一氧化氮,NO,ppb,2023-01,2.5
頭份,二氧化氮,NO2,ppb,2023-01,9.9
頭份,風速,WIND_SPEED,m/sec,2023-01,2.2
頭份,溫度,AMB_TEMP,℃,2023-01,17
頭份,細懸浮微粒,PM2.5,μg/m3,2023-01,15
頭份,相對濕度,RH,%,2023-01,83
苗栗,二氧化硫,SO2,ppb,2023-01,1.7
苗栗,一氧化碳,CO,ppm,2023-01,0.28
苗栗,臭氧,O3,ppb,2023-01,29.5
苗栗,懸浮微粒,PM10,μg/m3,2023-01,30
苗栗,氮氧化物,NOx,ppb,2023-01,11.7
苗栗,一氧化氮,NO,ppb,2023-01,2.2
苗栗,二氧化氮,NO2,ppb,2023-01,9.5
苗栗,風速,WIND_SPEED,m/sec,2023-01,2.6
苗栗,溫度,AMB_TEMP,℃,2023-01,16.3
