sitename,itemname,itemengname,itemunit,monitormonth,concentration
古亭,相對濕度,RH,%,2023-07,68
松山,二氧化硫,SO2,ppb,2023-07,1
松山,一氧化碳,CO,ppm,2023-07,0.23
松山,臭氧,O3,ppb,2023-07,18.9
松山,懸浮微粒,PM10,μg/m3,2023-07,16
松山,氮氧化物,NOx,ppb,2023-07,15.2
松山,一氧化氮,NO,ppb,2023-07,4.1
松山,二氧化氮,NO2,ppb,2023-07,11
松山,風速,WIND_SPEED,m/sec,2023-07,1
松山,溫度,AMB_TEMP,℃,2023-07,31.1
松山,細懸浮微粒,PM2.5,μg/m3,2023-07,6.8
松山,相對濕度,RH,%,2023-07,67
大同,二氧化硫,SO2,ppb,2023-07,1.2
大同,一氧化碳,CO,ppm,2023-07,0.91
大同,臭氧,O3,ppb,2023-07,12.4
大同,懸浮微粒,PM10,μg/m3,2023-07,25
大同,氮氧化物,NOx,ppb,2023-07,41.6
大同,一氧化氮,NO,ppb,2023-07,23.5
大同,二氧化氮,NO2,ppb,2023-07,18.1
大同,風速,WIND_SPEED,m/sec,2023-07,
大同,溫度,AMB_TEMP,℃,2023-07,
大同,細懸浮微粒,PM2.5,μg/m3,2023-07,13.9
大同,相對濕度,RH,%,2023-07,68
桃園,二氧化硫,SO2,ppb,2023-07,1.4
桃園,一氧化碳,CO,ppm,2023-07,0.24
桃園,臭氧,O3,ppb,2023-07,19.8
桃園,懸浮微粒,PM10,μg/m3,2023-07,19
桃園,氮氧化物,NOx,ppb,2023-07,12.2
桃園,一氧化氮,NO,ppb,2023-07,2
桃園,二氧化氮,NO2,ppb,2023-07,10.1
桃園,風速,WIND_SPEED,m/sec,2023-07,1.7
桃園,溫度,AMB_TEMP,℃,2023-07,30.2
桃園,細懸浮微粒,PM2.5,μg/m3,2023-07,10.1
桃園,相對濕度,RH,%,2023-07,71
大園,二氧化硫,SO2,ppb,2023-07,1.2
大園,一氧化碳,CO,ppm,2023-07,0.18
大園,臭氧,O3,ppb,2023-07,20.7
大園,懸浮微粒,PM10,μg/m3,2023-07,18
大園,氮氧化物,NOx,ppb,2023-07,10.9
大園,一氧化氮,NO,ppb,2023-07,2
大園,二氧化氮,NO2,ppb,2023-07,8.8
大園,風速,WIND_SPEED,m/sec,2023-07,3.1
大園,溫度,AMB_TEMP,℃,2023-07,30.2
大園,細懸浮微粒,PM2.5,μg/m3,2023-07,7.7
大園,相對濕度,RH,%,2023-07,72
觀音,二氧化硫,SO2,ppb,2023-07,0.7
觀音,一氧化碳,CO,ppm,2023-07,0.12
觀音,臭氧,O3,ppb,2023-07,21.6
觀音,懸浮微粒,PM10,μg/m3,2023-07,19
觀音,氮氧化物,NOx,ppb,2023-07,7.3
觀音,一氧化氮,NO,ppb,2023-07,1.2
觀音,二氧化氮,NO2,ppb,2023-07,6.1
觀音,風速,WIND_SPEED,m/sec,2023-07,3.1
觀音,溫度,AMB_TEMP,℃,2023-07,30.6
觀音,細懸浮微粒,PM2.5,μg/m3,2023-07,8
觀音,相對濕度,RH,%,2023-07,76
平鎮,二氧化硫,SO2,ppb,2023-07,0.9
平鎮,一氧化碳,CO,ppm,2023-07,0.21
平鎮,臭氧,O3,ppb,2023-07,20.4
平鎮,懸浮微粒,PM10,μg/m3,2023-07,19
平鎮,氮氧化物,NOx,ppb,2023-07,11.1
平鎮,一氧化氮,NO,ppb,2023-07,1.7
平鎮,二氧化氮,NO2,ppb,2023-07,9.3
平鎮,風速,WIND_SPEED,m/sec,2023-07,2.2
平鎮,溫度,AMB_TEMP,℃,2023-07,30
平鎮,細懸浮微粒,PM2.5,μg/m3,2023-07,8.5
平鎮,相對濕度,RH,%,2023-07,71
龍潭,二氧化硫,SO2,ppb,2023-07,0.7
龍潭,一氧化碳,CO,ppm,2023-07,0.2
龍潭,臭氧,O3,ppb,2023-07,22.2
龍潭,懸浮微粒,PM10,μg/m3,2023-07,17
龍潭,氮氧化物,NOx,ppb,2023-07,9.2
龍潭,二氧化氮,NO2,ppb,2023-07,7.4
三義,風速,WIND_SPEED,m/sec,2023-08,2.9
基隆,二氧化硫,SO2,ppb,2023-08,0.9
基隆,一氧化碳,CO,ppm,2023-08,0.23
基隆,臭氧,O3,ppb,2023-08,22.5
基隆,懸浮微粒,PM10,μg/m3,2023-08,18
基隆,氮氧化物,NOx,ppb,2023-08,9.7
基隆,一氧化氮,NO,ppb,2023-08,1.8
基隆,二氧化氮,NO2,ppb,2023-08,7.9
基隆,風速,WIND_SPEED,m/sec,2023-08,1.5
基隆,溫度,AMB_TEMP,℃,2023-08,29.4
基隆,細懸浮微粒,PM2.5,μg/m3,2023-08,9
基隆,相對濕度,RH,%,2023-08,83
汐止,二氧化硫,SO2,ppb,2023-08,1.3
汐止,一氧化碳,CO,ppm,2023-08,0.25
汐止,臭氧,O3,ppb,2023-08,19.6
汐止,懸浮微粒,PM10,μg/m3,2023-08,20
汐止,氮氧化物,NOx,ppb,2023-08,16
汐止,一氧化氮,NO,ppb,2023-08,4.1
汐止,二氧化氮,NO2,ppb,2023-08,11.8
汐止,風速,WIND_SPEED,m/sec,2023-08,1.5
汐止,溫度,AMB_TEMP,℃,2023-08,30.2
汐止,細懸浮微粒,PM2.5,μg/m3,2023-08,11.8
汐止,相對濕度,RH,%,2023-08,77
萬里,二氧化硫,SO2,ppb,2023-08,1
萬里,一氧化碳,CO,ppm,2023-08,0.17
萬里,臭氧,O3,ppb,2023-08,25.9
萬里,懸浮微粒,PM10,μg/m3,2023-08,22
萬里,氮氧化物,NOx,ppb,2023-08,5.2
萬里,一氧化氮,NO,ppb,2023-08,1.3
萬里,二氧化氮,NO2,ppb,2023-08,3.9
萬里,風速,WIND_SPEED,m/sec,2023-08,3.1
萬里,溫度,AMB_TEMP,℃,2023-08,29
萬里,細懸浮微粒,PM2.5,μg/m3,2023-08,8.6
萬里,相對濕度,RH,%,2023-08,79
新店,二氧化硫,SO2,ppb,2023-08,0.6
新店,一氧化碳,CO,ppm,2023-08,0.21
新店,臭氧,O3,ppb,2023-08,24.9
新店,懸浮微粒,PM10,μg/m3,2023-08,19
新店,氮氧化物,NOx,ppb,2023-08,8.5
新店,一氧化氮,NO,ppb,2023-08,1.7
新店,二氧化氮,NO2,ppb,2023-08,6.7
新店,風速,WIND_SPEED,m/sec,2023-08,1.9
新店,溫度,AMB_TEMP,℃,2023-08,29.8
新店,細懸浮微粒,PM2.5,μg/m3,2023-08,7.5
新店,相對濕度,RH,%,2023-08,79
土城,二氧化硫,SO2,ppb,2023-08,1
土城,一氧化碳,CO,ppm,2023-08,0.26
土城,臭氧,O3,ppb,2023-08,21.7
土城,懸浮微粒,PM10,μg/m3,2023-08,21
土城,氮氧化物,NOx,ppb,2023-08,13.1
土城,一氧化氮,NO,ppb,2023-08,2.8
土城,二氧化氮,NO2,ppb,2023-08,10.2
土城,風速,WIND_SPEED,m/sec,2023-08,1.4
土城,溫度,AMB_TEMP,℃,2023-08,29.8
土城,細懸浮微粒,PM2.5,μg/m3,2023-08,8.8
土城,相對濕度,RH,%,2023-08,77
板橋,二氧化硫,SO2,ppb,2023-08,0.6
板橋,一氧化碳,CO,ppm,2023-08,0.32
板橋,臭氧,O3,ppb,2023-08,22
板橋,懸浮微粒,PM10,μg/m3,2023-08,18
板橋,氮氧化物,NOx,ppb,2023-08,13.7
板橋,一氧化氮,NO,ppb,2023-08,2.4
板橋,二氧化氮,NO2,ppb,2023-08,11.2
板橋,風速,WIND_SPEED,m/sec,2023-08,1.7
板橋,溫度,AMB_TEMP,℃,2023-08,30.2
板橋,細懸浮微粒,PM2.5,μg/m3,2023-08,9.1
板橋,相對濕度,RH,%,2023-08,75
新莊,二氧化硫,SO2,ppb,2023-08,0.9
新莊,一氧化碳,CO,ppm,2023-08,0.26
新莊,臭氧,O3,ppb,2023-08,23.4
新莊,懸浮微粒,PM10,μg/m3,2023-08,21
新莊,氮氧化物,NOx,ppb,2023-08,11.9
新莊,一氧化氮,NO,ppb,2023-08,1.9
新莊,二氧化氮,NO2,ppb,2023-08,9.9
新莊,風速,WIND_SPEED,m/sec,2023-08,2.5
新莊,溫度,AMB_TEMP,℃,2023-08,29.8
新莊,細懸浮微粒,PM2.5,μg/m3,2023-08,10.6
新莊,相對濕度,RH,%,2023-08,77
菜寮,二氧化硫,SO2,ppb,2023-08,1.1
菜寮,一氧化碳,CO,ppm,2023-08,0.32
菜寮,臭氧,O3,ppb,2023-08,22.5
菜寮,懸浮微粒,PM10,μg/m3,2023-08,17
菜寮,氮氧化物,NOx,ppb,2023-08,14.6
菜寮,一氧化氮,NO,ppb,2023-08,2.5
菜寮,二氧化氮,NO2,ppb,2023-08,12
菜寮,風速,WIND_SPEED,m/sec,2023-08,2.2
菜寮,溫度,AMB_TEMP,℃,2023-08,30.7
菜寮,細懸浮微粒,PM2.5,μg/m3,2023-08,9.9
菜寮,相對濕度,RH,%,2023-08,71
林口,二氧化硫,SO2,ppb,2023-08,1.1
林口,一氧化碳,CO,ppm,2023-08,0.2
林口,臭氧,O3,ppb,2023-08,26.7
林口,懸浮微粒,PM10,μg/m3,2023-08,18
林口,氮氧化物,NOx,ppb,2023-08,11.7
林口,一氧化氮,NO,ppb,2023-08,2.3
林口,二氧化氮,NO2,ppb,2023-08,9.3
林口,風速,WIND_SPEED,m/sec,2023-08,2.9
林口,溫度,AMB_TEMP,℃,2023-08,28.9
林口,細懸浮微粒,PM2.5,μg/m3,2023-08,9.5
林口,相對濕度,RH,%,2023-08,89
淡水,二氧化硫,SO2,ppb,2023-08,1.2
淡水,一氧化碳,CO,ppm,2023-08,0.22
淡水,臭氧,O3,ppb,2023-08,27.1
淡水,懸浮微粒,PM10,μg/m3,2023-08,22
淡水,氮氧化物,NOx,ppb,2023-08,9.7
淡水,一氧化氮,NO,ppb,2023-08,1.7
淡水,二氧化氮,NO2,ppb,2023-08,7.9
淡水,風速,WIND_SPEED,m/sec,2023-08,1.8
淡水,溫度,AMB_TEMP,℃,2023-08,29.2
淡水,細懸浮微粒,PM2.5,μg/m3,2023-08,7.6
士林,二氧化硫,SO2,ppb,2023-08,0.6
士林,一氧化碳,CO,ppm,2023-08,0.22
士林,臭氧,O3,ppb,2023-08,22.5
士林,懸浮微粒,PM10,μg/m3,2023-08,17
士林,氮氧化物,NOx,ppb,2023-08,11.6
士林,一氧化氮,NO,ppb,2023-08,1.9
士林,二氧化氮,NO2,ppb,2023-08,9.6
士林,風速,WIND_SPEED,m/sec,2023-08,1.5
士林,溫度,AMB_TEMP,℃,2023-08,30.2
士林,細懸浮微粒,PM2.5,μg/m3,2023-08,10.6
士林,相對濕度,RH,%,2023-08,82
中山,二氧化硫,SO2,ppb,2023-08,0.7
中山,一氧化碳,CO,ppm,2023-08,0.4
中山,臭氧,O3,ppb,2023-08,18.9
中山,懸浮微粒,PM10,μg/m3,2023-08,22
中山,氮氧化物,NOx,ppb,2023-08,20.7
中山,一氧化氮,NO,ppb,2023-08,5.4
中山,二氧化氮,NO2,ppb,2023-08,15.1
中山,風速,WIND_SPEED,m/sec,2023-08,1.5
中山,溫度,AMB_TEMP,℃,2023-08,30.7
中山,細懸浮微粒,PM2.5,μg/m3,2023-08,9.4
中山,相對濕度,RH,%,2023-08,73
萬華,二氧化硫,SO2,ppb,2023-08,0.7
萬華,一氧化碳,CO,ppm,2023-08,0.35
萬華,臭氧,O3,ppb,2023-08,20.9
萬華,懸浮微粒,PM10,μg/m3,2023-08,18
萬華,氮氧化物,NOx,ppb,2023-08,16.6
萬華,一氧化氮,NO,ppb,2023-08,3.1
萬華,二氧化氮,NO2,ppb,2023-08,13.5
萬華,風速,WIND_SPEED,m/sec,2023-08,1.5
萬華,溫度,AMB_TEMP,℃,2023-08,30.4
萬華,細懸浮微粒,PM2.5,μg/m3,2023-08,10.2
萬華,相對濕度,RH,%,2023-08,72
古亭,二氧化硫,SO2,ppb,2023-08,0.5
古亭,一氧化碳,CO,ppm,2023-08,0.23
古亭,臭氧,O3,ppb,2023-08,22.5
古亭,懸浮微粒,PM10,μg/m3,2023-08,20
古亭,氮氧化物,NOx,ppb,2023-08,11.6
古亭,一氧化氮,NO,ppb,2023-08,2.2
古亭,二氧化氮,NO2,ppb,2023-08,9.3
古亭,風速,WIND_SPEED,m/sec,2023-08,1.7
古亭,溫度,AMB_TEMP,℃,2023-08,30.2
古亭,細懸浮微粒,PM2.5,μg/m3,2023-08,9.4
古亭,相對濕度,RH,%,2023-08,72
松山,二氧化硫,SO2,ppb,2023-08,0.8
松山,一氧化碳,CO,ppm,2023-08,0.28
松山,臭氧,O3,ppb,2023-08,19.2
松山,懸浮微粒,PM10,μg/m3,2023-08,18
松山,氮氧化物,NOx,ppb,2023-08,17.8
松山,一氧化氮,NO,ppb,2023-08,4.9
松山,二氧化氮,NO2,ppb,2023-08,12.8
松山,風速,WIND_SPEED,m/sec,2023-08,1.2
松山,溫度,AMB_TEMP,℃,2023-08,30.2
松山,細懸浮微粒,PM2.5,μg/m3,2023-08,7.4
松山,相對濕度,RH,%,2023-08,74
大同,二氧化硫,SO2,ppb,2023-08,1.2
大同,一氧化碳,CO,ppm,2023-08,0.92
大同,臭氧,O3,ppb,2023-08,13.8
大同,懸浮微粒,PM10,μg/m3,2023-08,23
大同,氮氧化物,NOx,ppb,2023-08,43.1
大同,一氧化氮,NO,ppb,2023-08,21.1
大同,二氧化氮,NO2,ppb,2023-08,21.9
大同,風速,WIND_SPEED,m/sec,2023-08,
大同,溫度,AMB_TEMP,℃,2023-08,
大同,細懸浮微粒,PM2.5,μg/m3,2023-08,13
大同,相對濕度,RH,%,2023-08,74
桃園,二氧化硫,SO2,ppb,2023-08,1.2
桃園,一氧化碳,CO,ppm,2023-08,0.26
桃園,臭氧,O3,ppb,2023-08,24.7
桃園,懸浮微粒,PM10,μg/m3,2023-08,20
桃園,氮氧化物,NOx,ppb,2023-08,12
桃園,一氧化氮,NO,ppb,2023-08,1.9
桃園,二氧化氮,NO2,ppb,2023-08,10
桃園,風速,WIND_SPEED,m/sec,2023-08,1.8
桃園,溫度,AMB_TEMP,℃,2023-08,29.7
桃園,細懸浮微粒,PM2.5,μg/m3,2023-08,10
桃園,相對濕度,RH,%,2023-08,75
大園,二氧化硫,SO2,ppb,2023-08,1.1
大園,一氧化碳,CO,ppm,2023-08,0.19
大園,臭氧,O3,ppb,2023-08,27.2
大園,懸浮微粒,PM10,μg/m3,2023-08,18
大園,氮氧化物,NOx,ppb,2023-08,9.5
大園,一氧化氮,NO,ppb,2023-08,1.6
大園,二氧化氮,NO2,ppb,2023-08,7.8
大園,風速,WIND_SPEED,m/sec,2023-08,3.6
大園,溫度,AMB_TEMP,℃,2023-08,29.6
大園,細懸浮微粒,PM2.5,μg/m3,2023-08,8.2
大園,相對濕度,RH,%,2023-08,76
觀音,二氧化硫,SO2,ppb,2023-08,0.7
觀音,一氧化碳,CO,ppm,2023-08,0.13
觀音,臭氧,O3,ppb,2023-08,26.8
觀音,懸浮微粒,PM10,μg/m3,2023-08,23
觀音,氮氧化物,NOx,ppb,2023-08,7.1
觀音,一氧化氮,NO,ppb,2023-08,1.1
觀音,二氧化氮,NO2,ppb,2023-08,5.9
觀音,風速,WIND_SPEED,m/sec,2023-08,3.8
觀音,溫度,AMB_TEMP,℃,2023-08,29.9
觀音,細懸浮微粒,PM2.5,μg/m3,2023-08,9.6
觀音,相對濕度,RH,%,2023-08,79
平鎮,二氧化硫,SO2,ppb,2023-08,0.9
平鎮,一氧化碳,CO,ppm,2023-08,0.21
平鎮,臭氧,O3,ppb,2023-08,25
平鎮,懸浮微粒,PM10,μg/m3,2023-08,18
平鎮,氮氧化物,NOx,ppb,2023-08,10.6
平鎮,一氧化氮,NO,ppb,2023-08,1.8
平鎮,二氧化氮,NO2,ppb,2023-08,8.7
平鎮,風速,WIND_SPEED,m/sec,2023-08,2.5
平鎮,溫度,AMB_TEMP,℃,2023-08,29.5
平鎮,細懸浮微粒,PM2.5,μg/m3,2023-08,8.8
平鎮,相對濕度,RH,%,2023-08,74
龍潭,二氧化硫,SO2,ppb,2023-08,0.8
龍潭,一氧化碳,CO,ppm,2023-08,0.2
龍潭,臭氧,O3,ppb,2023-08,25
龍潭,懸浮微粒,PM10,μg/m3,2023-08,16
龍潭,氮氧化物,NOx,ppb,2023-08,9.3
龍潭,一氧化氮,NO,ppb,2023-08,2.5
龍潭,二氧化氮,NO2,ppb,2023-08,6.8
龍潭,風速,WIND_SPEED,m/sec,2023-08,2.7
龍潭,溫度,AMB_TEMP,℃,2023-08,28.4
龍潭,細懸浮微粒,PM2.5,μg/m3,2023-08,7.8
龍潭,相對濕度,RH,%,2023-08,79
湖口,二氧化硫,SO2,ppb,2023-08,0.8
湖口,一氧化碳,CO,ppm,2023-08,0.15
湖口,臭氧,O3,ppb,2023-08,25.4
湖口,懸浮微粒,PM10,μg/m3,2023-08,18
湖口,氮氧化物,NOx,ppb,2023-08,7.5
湖口,一氧化氮,NO,ppb,2023-08,1.3
湖口,二氧化氮,NO2,ppb,2023-08,6.1
湖口,風速,WIND_SPEED,m/sec,2023-08,3
湖口,溫度,AMB_TEMP,℃,2023-08,29.6
湖口,細懸浮微粒,PM2.5,μg/m3,2023-08,8.5
湖口,相對濕度,RH,%,2023-08,75
竹東,二氧化硫,SO2,ppb,2023-08,0.5
竹東,一氧化碳,CO,ppm,2023-08,0.16
竹東,臭氧,O3,ppb,2023-08,22.8
竹東,懸浮微粒,PM10,μg/m3,2023-08,17
竹東,氮氧化物,NOx,ppb,2023-08,5.3
竹東,一氧化氮,NO,ppb,2023-08,1.1
竹東,二氧化氮,NO2,ppb,2023-08,4.2
竹東,風速,WIND_SPEED,m/sec,2023-08,1.7
竹東,溫度,AMB_TEMP,℃,2023-08,29.5
竹東,細懸浮微粒,PM2.5,μg/m3,2023-08,7.5
竹東,相對濕度,RH,%,2023-08,75
新竹,二氧化硫,SO2,ppb,2023-08,0.6
新竹,一氧化碳,CO,ppm,2023-08,0.22
新竹,臭氧,O3,ppb,2023-08,23.3
新竹,懸浮微粒,PM10,μg/m3,2023-08,17
新竹,氮氧化物,NOx,ppb,2023-08,9.6
新竹,一氧化氮,NO,ppb,2023-08,1.5
新竹,二氧化氮,NO2,ppb,2023-08,8
新竹,風速,WIND_SPEED,m/sec,2023-08,2
新竹,溫度,AMB_TEMP,℃,2023-08,30.2
新竹,細懸浮微粒,PM2.5,μg/m3,2023-08,8.3
新竹,相對濕度,RH,%,2023-08,74
頭份,二氧化硫,SO2,ppb,2023-08,1.3
頭份,一氧化碳,CO,ppm,2023-08,0.16
頭份,臭氧,O3,ppb,2023-08,26
頭份,懸浮微粒,PM10,μg/m3,2023-08,20
頭份,氮氧化物,NOx,ppb,2023-08,6.2
頭份,一氧化氮,NO,ppb,2023-08,1.7
頭份,二氧化氮,NO2,ppb,2023-08,4.4
頭份,風速,WIND_SPEED,m/sec,2023-08,2.5
頭份,溫度,AMB_TEMP,℃,2023-08,30.1
頭份,細懸浮微粒,PM2.5,μg/m3,2023-08,7.2
頭份,相對濕度,RH,%,2023-08,74
苗栗,二氧化硫,SO2,ppb,2023-08,1.2
苗栗,一氧化碳,CO,ppm,2023-08,0.15
苗栗,臭氧,O3,ppb,2023-08,26.2
苗栗,懸浮微粒,PM10,μg/m3,2023-08,14
苗栗,氮氧化物,NOx,ppb,2023-08,6.3
苗栗,一氧化氮,NO,ppb,2023-08,1.9
苗栗,二氧化氮,NO2,ppb,2023-08,4.4
苗栗,風速,WIND_SPEED,m/sec,2023-08,2.7
苗栗,溫度,AMB_TEMP,℃,2023-08,30
苗栗,細懸浮微粒,PM2.5,μg/m3,2023-08,7.8
苗栗,相對濕度,RH,%,2023-08,72
三義,二氧化硫,SO2,ppb,2023-08,1
三義,一氧化碳,CO,ppm,2023-08,0.15
三義,臭氧,O3,ppb,2023-08,27.8
三義,懸浮微粒,PM10,μg/m3,2023-08,17
三義,氮氧化物,NOx,ppb,2023-08,4.5
三義,一氧化氮,NO,ppb,2023-08,1
三義,二氧化氮,NO2,ppb,2023-08,3.4
三義,溫度,AMB_TEMP,℃,2023-08,27.1
三義,細懸浮微粒,PM2.5,μg/m3,2023-08,7.8
三義,相對濕度,RH,%,2023-08,84
豐原,二氧化硫,SO2,ppb,2023-08,1.5
豐原,一氧化碳,CO,ppm,2023-08,0.18
豐原,臭氧,O3,ppb,2023-08,28.2
豐原,懸浮微粒,PM10,μg/m3,2023-08,19
豐原,氮氧化物,NOx,ppb,2023-08,5.6
豐原,一氧化氮,NO,ppb,2023-08,1.2
豐原,二氧化氮,NO2,ppb,2023-08,4.3
豐原,風速,WIND_SPEED,m/sec,2023-08,2.5
豐原,溫度,AMB_TEMP,℃,2023-08,28.4
豐原,細懸浮微粒,PM2.5,μg/m3,2023-08,9.5
豐原,相對濕度,RH,%,2023-08,77
沙鹿,二氧化硫,SO2,ppb,2023-08,0.9
沙鹿,一氧化碳,CO,ppm,2023-08,0.17
沙鹿,臭氧,O3,ppb,2023-08,26.7
沙鹿,懸浮微粒,PM10,μg/m3,2023-08,19
沙鹿,氮氧化物,NOx,ppb,2023-08,7.1
沙鹿,一氧化氮,NO,ppb,2023-08,1.2
沙鹿,二氧化氮,NO2,ppb,2023-08,5.7
沙鹿,風速,WIND_SPEED,m/sec,2023-08,2.5
沙鹿,溫度,AMB_TEMP,℃,2023-08,29.8
沙鹿,細懸浮微粒,PM2.5,μg/m3,2023-08,8.1
沙鹿,相對濕度,RH,%,2023-08,76
大里,二氧化硫,SO2,ppb,2023-08,1.2
大里,一氧化碳,CO,ppm,2023-08,0.22
大里,臭氧,O3,ppb,2023-08,24.9
大里,懸浮微粒,PM10,μg/m3,2023-08,19
大里,氮氧化物,NOx,ppb,2023-08,8.5
大里,一氧化氮,NO,ppb,2023-08,1.6
大里,二氧化氮,NO2,ppb,2023-08,6.8
大里,風速,WIND_SPEED,m/sec,2023-08,1.6
大里,溫度,AMB_TEMP,℃,2023-08,29.3
大里,細懸浮微粒,PM2.5,μg/m3,2023-08,7.4
大里,相對濕度,RH,%,2023-08,77
忠明,二氧化硫,SO2,ppb,2023-08,1.1
忠明,一氧化碳,CO,ppm,2023-08,0.23
忠明,臭氧,O3,ppb,2023-08,26
忠明,懸浮微粒,PM10,μg/m3,2023-08,18
忠明,氮氧化物,NOx,ppb,2023-08,8.3
忠明,一氧化氮,NO,ppb,2023-08,1.1
忠明,二氧化氮,NO2,ppb,2023-08,7.1
忠明,風速,WIND_SPEED,m/sec,2023-08,1.6
忠明,溫度,AMB_TEMP,℃,2023-08,29.9
忠明,細懸浮微粒,PM2.5,μg/m3,2023-08,9.3
忠明,相對濕度,RH,%,2023-08,77
西屯,二氧化硫,SO2,ppb,2023-08,0.9
西屯,一氧化碳,CO,ppm,2023-08,0.17
西屯,臭氧,O3,ppb,2023-08,24.4
西屯,懸浮微粒,PM10,μg/m3,2023-08,20
西屯,氮氧化物,NOx,ppb,2023-08,9.8
西屯,一氧化氮,NO,ppb,2023-08,2.3
西屯,二氧化氮,NO2,ppb,2023-08,7.4
西屯,風速,WIND_SPEED,m/sec,2023-08,2
西屯,溫度,AMB_TEMP,℃,2023-08,29.3
西屯,細懸浮微粒,PM2.5,μg/m3,2023-08,10.4
西屯,相對濕度,RH,%,2023-08,82
彰化,二氧化硫,SO2,ppb,2023-08,1.1
彰化,一氧化碳,CO,ppm,2023-08,0.16
彰化,懸浮微粒,PM10,μg/m3,2023-08,22
彰化,氮氧化物,NOx,ppb,2023-08,6.9
彰化,一氧化氮,NO,ppb,2023-08,1.7
彰化,二氧化氮,NO2,ppb,2023-08,5.1
彰化,風速,WIND_SPEED,m/sec,2023-08,1.1
彰化,溫度,AMB_TEMP,℃,2023-08,29.7
彰化,細懸浮微粒,PM2.5,μg/m3,2023-08,9.9
彰化,相對濕度,RH,%,2023-08,75
線西,二氧化硫,SO2,ppb,2023-08,1.1
線西,一氧化碳,CO,ppm,2023-08,0.15
線西,臭氧,O3,ppb,2023-08,25.9
線西,懸浮微粒,PM10,μg/m3,2023-08,21
線西,氮氧化物,NOx,ppb,2023-08,5.3
線西,一氧化氮,NO,ppb,2023-08,1
線西,二氧化氮,NO2,ppb,2023-08,4.2
線西,風速,WIND_SPEED,m/sec,2023-08,2.9
線西,溫度,AMB_TEMP,℃,2023-08,29.7
線西,細懸浮微粒,PM2.5,μg/m3,2023-08,12
線西,相對濕度,RH,%,2023-08,79
二林,二氧化硫,SO2,ppb,2023-08,1.2
二林,一氧化碳,CO,ppm,2023-08,0.14
二林,臭氧,O3,ppb,2023-08,24.7
二林,懸浮微粒,PM10,μg/m3,2023-08,21
二林,氮氧化物,NOx,ppb,2023-08,4.4
二林,一氧化氮,NO,ppb,2023-08,0.7
二林,二氧化氮,NO2,ppb,2023-08,3.6
二林,風速,WIND_SPEED,m/sec,2023-08,2.3
二林,溫度,AMB_TEMP,℃,2023-08,29.9
二林,細懸浮微粒,PM2.5,μg/m3,2023-08,8.3
二林,相對濕度,RH,%,2023-08,89
南投,二氧化硫,SO2,ppb,2023-08,0.6
南投,一氧化碳,CO,ppm,2023-08,0.17
南投,臭氧,O3,ppb,2023-08,23.1
南投,懸浮微粒,PM10,μg/m3,2023-08,20
南投,氮氧化物,NOx,ppb,2023-08,5.7
南投,一氧化氮,NO,ppb,2023-08,1.2
南投,二氧化氮,NO2,ppb,2023-08,4.4
南投,風速,WIND_SPEED,m/sec,2023-08,1.5
南投,溫度,AMB_TEMP,℃,2023-08,29.1
南投,細懸浮微粒,PM2.5,μg/m3,2023-08,8.6
南投,相對濕度,RH,%,2023-08,77
斗六,二氧化硫,SO2,ppb,2023-08,1.2
斗六,一氧化碳,CO,ppm,2023-08,0.17
斗六,臭氧,O3,ppb,2023-08,25.6
斗六,懸浮微粒,PM10,μg/m3,2023-08,20
斗六,氮氧化物,NOx,ppb,2023-08,4.9
斗六,一氧化氮,NO,ppb,2023-08,1
斗六,二氧化氮,NO2,ppb,2023-08,3.8
崙背,二氧化氮,NO2,ppb,2023-08,3.6
崙背,風速,WIND_SPEED,m/sec,2023-08,1.3
崙背,溫度,AMB_TEMP,℃,2023-08,30
崙背,細懸浮微粒,PM2.5,μg/m3,2023-08,8.5
崙背,相對濕度,RH,%,2023-08,82
新港,二氧化硫,SO2,ppb,2023-08,1.4
新港,一氧化碳,CO,ppm,2023-08,0.15
新港,臭氧,O3,ppb,2023-08,25.7
新港,懸浮微粒,PM10,μg/m3,2023-08,19
新港,氮氧化物,NOx,ppb,2023-08,5.2
新港,一氧化氮,NO,ppb,2023-08,1.4
新港,二氧化氮,NO2,ppb,2023-08,3.7
新港,風速,WIND_SPEED,m/sec,2023-08,1.6
新港,溫度,AMB_TEMP,℃,2023-08,29.5
新港,細懸浮微粒,PM2.5,μg/m3,2023-08,8.7
新港,相對濕度,RH,%,2023-08,82
朴子,二氧化硫,SO2,ppb,2023-08,1.5
朴子,一氧化碳,CO,ppm,2023-08,0.19
朴子,臭氧,O3,ppb,2023-08,25
朴子,懸浮微粒,PM10,μg/m3,2023-08,17
朴子,氮氧化物,NOx,ppb,2023-08,5.1
朴子,一氧化氮,NO,ppb,2023-08,1.1
朴子,二氧化氮,NO2,ppb,2023-08,3.9
朴子,風速,WIND_SPEED,m/sec,2023-08,1.4
朴子,溫度,AMB_TEMP,℃,2023-08,29.5
朴子,細懸浮微粒,PM2.5,μg/m3,2023-08,9.2
朴子,相對濕度,RH,%,2023-08,85
臺西,二氧化硫,SO2,ppb,2023-08,0.9
臺西,一氧化碳,CO,ppm,2023-08,0.13
臺西,臭氧,O3,ppb,2023-08,24.4
臺西,懸浮微粒,PM10,μg/m3,2023-08,20
嘉義,風速,WIND_SPEED,m/sec,2023-08,1.5
嘉義,溫度,AMB_TEMP,℃,2023-08,29.1
